id,id2,USstate,"GCT_STUB.target-geo-id","GCT_STUB.target-geo-id2",county,density
"0400000US37",37,"North Carolina","0500000US37001",37001,"Alamance County",356.5
"0400000US37",37,"North Carolina","0500000US37003",37003,"Alexander County",143.1
"0400000US37",37,"North Carolina","0500000US37005",37005,"Alleghany County",47.5
"0400000US37",37,"North Carolina","0500000US37007",37007,"Anson County",50.7
"0400000US37",37,"North Carolina","0500000US37009",37009,"Ashe County",64
"0400000US37",37,"North Carolina","0500000US37011",37011,"Avery County",72
"0400000US37",37,"North Carolina","0500000US37013",37013,"Beaufort County",57.7
"0400000US37",37,"North Carolina","0500000US37015",37015,"Bertie County",30.4
"0400000US37",37,"North Carolina","0500000US37017",37017,"Bladen County",40.2
"0400000US37",37,"North Carolina","0500000US37019",37019,"Brunswick County",126.8
"0400000US37",37,"North Carolina","0500000US37021",37021,"Buncombe County",362.9
"0400000US37",37,"North Carolina","0500000US37023",37023,"Burke County",179.3
"0400000US37",37,"North Carolina","0500000US37025",37025,"Cabarrus County",492.1
"0400000US37",37,"North Carolina","0500000US37027",37027,"Caldwell County",176.1
"0400000US37",37,"North Carolina","0500000US37029",37029,"Camden County",41.5
"0400000US37",37,"North Carolina","0500000US37031",37031,"Carteret County",131.3
"0400000US37",37,"North Carolina","0500000US37033",37033,"Caswell County",55.8
"0400000US37",37,"North Carolina","0500000US37035",37035,"Catawba County",387.1
"0400000US37",37,"North Carolina","0500000US37037",37037,"Chatham County",93.1
"0400000US37",37,"North Carolina","0500000US37039",37039,"Cherokee County",60.3
"0400000US37",37,"North Carolina","0500000US37041",37041,"Chowan County",85.8
"0400000US37",37,"North Carolina","0500000US37043",37043,"Clay County",49.3
"0400000US37",37,"North Carolina","0500000US37045",37045,"Cleveland County",211.3
"0400000US37",37,"North Carolina","0500000US37047",37047,"Columbus County",62
"0400000US37",37,"North Carolina","0500000US37049",37049,"Craven County",146
"0400000US37",37,"North Carolina","0500000US37051",37051,"Cumberland County",489.7
"0400000US37",37,"North Carolina","0500000US37053",37053,"Currituck County",89.9
"0400000US37",37,"North Carolina","0500000US37055",37055,"Dare County",88.5
"0400000US37",37,"North Carolina","0500000US37057",37057,"Davidson County",294.7
"0400000US37",37,"North Carolina","0500000US37059",37059,"Davie County",156.1
"0400000US37",37,"North Carolina","0500000US37061",37061,"Duplin County",71.7
"0400000US37",37,"North Carolina","0500000US37063",37063,"Durham County",935.7
"0400000US37",37,"North Carolina","0500000US37065",37065,"Edgecombe County",111.9
"0400000US37",37,"North Carolina","0500000US37067",37067,"Forsyth County",859.2
"0400000US37",37,"North Carolina","0500000US37069",37069,"Franklin County",123.3
"0400000US37",37,"North Carolina","0500000US37071",37071,"Gaston County",578.8
"0400000US37",37,"North Carolina","0500000US37073",37073,"Gates County",35.8
"0400000US37",37,"North Carolina","0500000US37075",37075,"Graham County",30.3
"0400000US37",37,"North Carolina","0500000US37077",37077,"Granville County",112.7
"0400000US37",37,"North Carolina","0500000US37079",37079,"Greene County",80.3
"0400000US37",37,"North Carolina","0500000US37081",37081,"Guilford County",756.4
"0400000US37",37,"North Carolina","0500000US37083",37083,"Halifax County",75.5
"0400000US37",37,"North Carolina","0500000US37085",37085,"Harnett County",192.7
"0400000US37",37,"North Carolina","0500000US37087",37087,"Haywood County",106.6
"0400000US37",37,"North Carolina","0500000US37089",37089,"Henderson County",286.1
"0400000US37",37,"North Carolina","0500000US37091",37091,"Hertford County",69.9
"0400000US37",37,"North Carolina","0500000US37093",37093,"Hoke County",120.2
"0400000US37",37,"North Carolina","0500000US37095",37095,"Hyde County",9.5
"0400000US37",37,"North Carolina","0500000US37097",37097,"Iredell County",277.8
"0400000US37",37,"North Carolina","0500000US37099",37099,"Jackson County",82.1
"0400000US37",37,"North Carolina","0500000US37101",37101,"Johnston County",213.4
"0400000US37",37,"North Carolina","0500000US37103",37103,"Jones County",21.6
"0400000US37",37,"North Carolina","0500000US37105",37105,"Lee County",227
"0400000US37",37,"North Carolina","0500000US37107",37107,"Lenoir County",148.5
"0400000US37",37,"North Carolina","0500000US37109",37109,"Lincoln County",262.7
"0400000US37",37,"North Carolina","0500000US37111",37111,"McDowell County",102.1
"0400000US37",37,"North Carolina","0500000US37113",37113,"Macon County",65.8
"0400000US37",37,"North Carolina","0500000US37115",37115,"Madison County",46.2
"0400000US37",37,"North Carolina","0500000US37117",37117,"Martin County",53.1
"0400000US37",37,"North Carolina","0500000US37119",37119,"Mecklenburg County",1755.5
"0400000US37",37,"North Carolina","0500000US37121",37121,"Mitchell County",70.4
"0400000US37",37,"North Carolina","0500000US37123",37123,"Montgomery County",56.5
"0400000US37",37,"North Carolina","0500000US37125",37125,"Moore County",126.5
"0400000US37",37,"North Carolina","0500000US37127",37127,"Nash County",177.3
"0400000US37",37,"North Carolina","0500000US37129",37129,"New Hanover County",1058.1
"0400000US37",37,"North Carolina","0500000US37131",37131,"Northampton County",41.2
"0400000US37",37,"North Carolina","0500000US37133",37133,"Onslow County",233.1
"0400000US37",37,"North Carolina","0500000US37135",37135,"Orange County",336.2
"0400000US37",37,"North Carolina","0500000US37137",37137,"Pamlico County",39.1
"0400000US37",37,"North Carolina","0500000US37139",37139,"Pasquotank County",179.2
"0400000US37",37,"North Carolina","0500000US37141",37141,"Pender County",60
"0400000US37",37,"North Carolina","0500000US37143",37143,"Perquimans County",54.4
"0400000US37",37,"North Carolina","0500000US37145",37145,"Person County",100.6
"0400000US37",37,"North Carolina","0500000US37147",37147,"Pitt County",257.9
"0400000US37",37,"North Carolina","0500000US37149",37149,"Polk County",86.3
"0400000US37",37,"North Carolina","0500000US37151",37151,"Randolph County",181.1
"0400000US37",37,"North Carolina","0500000US37153",37153,"Richmond County",98.4
"0400000US37",37,"North Carolina","0500000US37155",37155,"Robeson County",141.3
"0400000US37",37,"North Carolina","0500000US37157",37157,"Rockingham County",165.6
"0400000US37",37,"North Carolina","0500000US37159",37159,"Rowan County",270.7
"0400000US37",37,"North Carolina","0500000US37161",37161,"Rutherford County",120.2
"0400000US37",37,"North Carolina","0500000US37163",37163,"Sampson County",67.1
"0400000US37",37,"North Carolina","0500000US37165",37165,"Scotland County",113.4
"0400000US37",37,"North Carolina","0500000US37167",37167,"Stanly County",153.3
"0400000US37",37,"North Carolina","0500000US37169",37169,"Stokes County",105.6
"0400000US37",37,"North Carolina","0500000US37171",37171,"Surry County",138.4
"0400000US37",37,"North Carolina","0500000US37173",37173,"Swain County",26.5
"0400000US37",37,"North Carolina","0500000US37175",37175,"Transylvania County",87.4
"0400000US37",37,"North Carolina","0500000US37177",37177,"Tyrrell County",11.3
"0400000US37",37,"North Carolina","0500000US37179",37179,"Union County",318.7
"0400000US37",37,"North Carolina","0500000US37181",37181,"Vance County",179.2
"0400000US37",37,"North Carolina","0500000US37183",37183,"Wake County",1078.8
"0400000US37",37,"North Carolina","0500000US37185",37185,"Warren County",48.9
"0400000US37",37,"North Carolina","0500000US37187",37187,"Washington County",38
"0400000US37",37,"North Carolina","0500000US37189",37189,"Watauga County",163.4
"0400000US37",37,"North Carolina","0500000US37191",37191,"Wayne County",221.7
"0400000US37",37,"North Carolina","0500000US37193",37193,"Wilkes County",91.9
"0400000US37",37,"North Carolina","0500000US37195",37195,"Wilson County",220.6
"0400000US37",37,"North Carolina","0500000US37197",37197,"Yadkin County",114.7
"0400000US37",37,"North Carolina","0500000US37199",37199,"Yancey County",57
